MODEL,#ID,Length [µm],Width [µm],Thickness [µm],Resonance Frequency [KHz],Tip radius [nm],Force Constant [N/m],Cantilevers density  [Kg/m^3],Volume [µm^3]
All-In-One-C,34,150,30,2.7,150,10,7.4,2330,12150
All-In-One-D,35,100,50,2.7,350,10,40,2330,13500
All-In-One-DD-A,36,500,30,2.7,19,250,0.5,2330,40500
All-In-One-DD-B,37,210,30,2.7,110,250,6.5,2330,17010
All-In-One-DD-C,38,150,30,2.7,200,250,18,2330,12150
All-In-One-DD-D,39,100,50,2.7,450,250,100,2330,13500
AR10-NCHR,40,125,30,4,320,20,42,2330,15000
AR5-NCHR,41,125,30,4,320,10,42,2330,15000
AR5T-NCHR,42,125,30,4,330,10,42,2330,15000
ARROW-FM,43,240,35,3,75,10,2.8,2330,25200
ARROW-FMR,44,240,35,3,75,10,2.8,2330,25200
ARROW-NC,45,160,45,4.6,285,10,42,2330,33120
ARROW-NCR,46,160,45,4.6,285,10,42,2330,33120
ARROW-UHFAuD,47,35,42,0.7,2000,10,30,19300,1029
ATEC-CONT,48,450,50,2,15,10,0.2,2330,45000
ATEC-FM,49,240,35,3,85,10,2.8,2330,25200
ATEC-FMAu,50,240,35,3,85,7,2.8,19300,25200
ATEC-NC,51,160,45,4.6,335,10,45,2330,33120
biotool cell,52,60,25,0.4,50,25,0.1,19300,600
biotool cell XXL,53,60,25,0.4,50,25,0.1,19300,600
BL-AC10DS-A2,54,9,2,0.13,1500,24,0.1,3210,2.34
BL-AC10FS-A2,55,9,2,0.13,1500,7,0.1,3210,2.34
CONTR,56,450,50,2,13,8,0.2,2330,45000
DT-NCHR,57,125,30,4,400,10,80,2330,15000
EBD-NCH,58,125,30,4,330,7,40,2330,15000
FASTSCAN-D-SS,59,16,4,0.145,110,1,0.25,3210,9.28
FESP,60,225,28,3,75,8,2.8,2330,18900
FM,61,225,28,3,75,8,2.8,2330,15000
FMR,62,225,28,3,75,8,2.8,2330,18900
HiRes-C18/Cr-Au,63,225,27.5,3,75,1,2.8,19300,18562.5
HQ:CSC17,64,450,50,2,13,8,0.18,2330,45000
HQ:CSC37-A,65,250,35,2,40,10,0.8,2330,17500
HQ:CSC37-B,66,350,35,2,20,10,0.3,2330,24500
HQ:CSC37-C,67,300,35,2,30,10,0.4,2330,21000
HQ:CSC38-A,68,250,32.5,1,20,10,0.09,2330,8125
HQ:CSC38-B,69,350,32.5,1,10,10,0.03,2330,11375
HQ:CSC38-C,70,300,32.5,1,14,10,0.05,2330,9750
HQ:NSC14/Al BS,71,125,25,2.1,160,8,5,2330,6562.5
HQ:NSC14/Cr-Au BS,72,125,25,2.1,160,8,5,19300,6562.5
HQ:NSC14/No Al,73,125,25,2.1,160,8,5,2330,6562.5
HQ:NSC15/Al BS,74,125,30,4,325,8,40,2330,15000
HQ:NSC15/Cr-Au BS,75,125,30,4,325,8,40,19300,15000
HQ:NSC15/No Al,76,125,30,4,325,8,40,2330,15000
HQ:NSC16/Al BS,77,225,37.5,7,190,8,45,2330,59062.5
HQ:NSC16/Cr-Au BS,78,225,37.5,7,190,8,45,19300,59062.5
HQ:NSC16/No Al,79,225,37.5,7,190,8,45,2330,59062.5
HQ:NSC18/Al BS,80,225,27.5,3,75,8,2.8,2330,18562.5
HQ:NSC18/Cr-Au BS,81,225,27.5,3,75,8,2.8,19300,18562.5
HQ:NSC18/No Al,82,225,27.5,3,75,8,2.8,2330,18562.5
HQ:NSC19/Al BS,83,125,22.5,1,65,8,0.5,2330,2812.5
HQ:NSC19/Cr-Au,84,125,22.5,1,65,35,0.5,19300,2812.5
HQ:NSC19/No Al,85,125,22.5,1,65,8,0.5,2330,2812.5
HQ:NSC35/Al BS-A,86,110,35,2,205,8,8.9,2330,7700
HQ:NSC35/Al BS-B,87,90,35,2,300,8,16,2330,6300
HQ:NSC35/Al BS-C,88,130,35,2,150,8,5.4,2330,9100
HQ:NSC35/Cr-Au BS-A,89,110,35,2,205,8,8.9,19300,7700
HQ:NSC35/Cr-Au BS-B,90,90,35,2,300,8,16,19300,6300
HQ:NSC35/Cr-Au BS-C,91,130,35,2,150,8,5.4,19300,9100
HQ:NSC35/Cr-Au-A,92,110,35,2,205,35,8.9,19300,7700
HQ:NSC35/Cr-Au-B,93,90,35,2,300,35,16,19300,6300
HQ:NSC35/Cr-Au-C,94,130,35,2,150,35,5.4,19300,9100
HQ:NSC35/No Al-A,95,110,35,2,205,8,8.9,2330,7700
HQ:NSC35/No Al-B,96,90,35,2,300,8,16,2330,6300
HQ:NSC35/No Al-C,97,130,35,2,150,8,5.4,2330,9100
HQ:NSC36/Al BS-A,98,110,32.5,1,90,8,1,2330,3575
HQ:NSC36/Al BS-B,99,90,32.5,1,130,8,2,2330,2925
HQ:NSC36/Al BS-C,100,130,32.5,1,65,8,0.6,2330,4225
HQ:NSC36/Cr-Au BS-A,101,110,32.5,1,90,8,1,19300,3575
HQ:NSC36/Cr-Au BS-B,102,90,32.5,1,130,8,2,19300,2925
HQ:NSC36/Cr-Au BS-C,103,130,32.5,1,65,8,0.6,19300,4225
HQ:NSC36/Cr-Au-A,104,110,32.5,1,90,35,1,19300,3575
HQ:NSC36/Cr-Au-B,105,90,32.5,1,130,35,2,19300,2925
HQ:NSC36/Cr-Au-C,106,130,32.5,1,65,35,0.6,19300,4225
HQ:NSC36/No Al-A,107,110,32.5,1,90,8,1,2330,3575
HQ:NSC36/No Al-B,108,90,32.5,1,130,8,2,2330,2925
HQ:NSC36/No Al-C,109,130,32.5,1,65,8,0.6,2330,4225
HQ:XSC11/Al BS-A,110,500,30,2.7,15,8,0.2,2330,40500
HQ:XSC11/Al BS-B,111,210,30,2.7,80,8,2.7,2330,17010
HQ:XSC11/Al BS-C,112,150,30,2.7,155,8,7,2330,12150
HQ:XSC11/Al BS-D,113,100,50,2.7,350,8,42,2330,13500
HQ:XSC11/No Al-A,114,500,30,2.7,15,8,0.2,2330,40500
HQ:XSC11/No Al-B,115,210,30,2.7,80,8,2.7,2330,17010
HQ:XSC11/No Al-C,116,150,30,2.7,155,8,7,2330,12150
HQ:XSC11/No Al-D,117,100,50,2.7,350,8,42,2330,13500
LTESP,118,225,38,7,190,8,48,2330,59850
MSNL-10,119,175,22,0.55,22,2,0.07,3210,2117.5
Multi75-G,120,225,28,3,75,10,3,19300,18900
Multi75Al-G,121,225,28,3,75,10,3,2330,18900
Multi75GB-G,122,225,28,3,75,25,3,19300,18900
Multi75GD-G,123,225,28,3,75,10,3,19300,18900
NCH,124,125,30,4,320,8,42,2330,15000
NCHR,125,125,30,4,320,8,42,2330,15000
NCL,126,225,38,7,190,8,48,2330,59850
NCLR,127,225,38,7,190,8,48,2330,59850
NCST,128,150,27,2.8,160,8,7.4,2330,11340
NCSTR,129,150,27,2.8,160,8,7.4,2330,11340
NSC36 / Al BS-A,130,110,32.5,1,90,8,1,2330,3575
NSC36 / Al BS-B,131,90,32.5,1,130,8,2,2330,2925
NSC36 / Al BS-C,132,130,32.5,1,65,8,0.6,2330,4225
NW-CDT-NCHR,133,125,30,4,400,10,80,2330,15000
NW-CDT-NCLR,134,225,37.5,7,210,10,72,2330,59062.5
NW-SSS-NCH,135,125,30,4,320,2,42,2330,15000
NW-SSS-NCL,136,225,38,7,190,2,48,2330,59850
NW-SSS-SEIH,137,225,33,5,130,2,15,2330,37125
OLTESPA,138,240,40,2.6,70,7,2,2330,24960
OTESPA,139,160,40,4,300,7,26,2330,25600
PEAKFORCE-HIRS-F-A,140,36,16,0.31,165,1,0.35,3210,178.56
PEAKFORCE-HIRS-F-B,141,36,16,0.25,100,1,0.12,3210,144
PEAKFORCE-HIRS-SSB,142,36,16,0.25,100,1,0.12,3210,144
PNP-DB-A,143,100,40,0.5,67,10,0.48,3210,2000
PNP-DB-B,144,200,40,0.5,17,10,0.06,3210,4000
PNP-TR-A,145,100,13.5,0.5,67,10,0.32,19300,675
PNP-TR-Au-A,146,100,13.5,0.5,67,40,0.32,19300,675
PNP-TR-Au-B,147,200,28,0.5,17,40,0.08,19300,2800
PNP-TR-B,148,200,28,0.5,17,10,0.08,19300,2800
PNP-TRS,149,100,13.5,0.5,67,10,0.32,3210,675
PPP-CONT,150,450,50,2,13,10,0.2,2330,45000
PPP-CONT-SC,151,225,48,1,25,10,0.2,2330,10800
PPP-CONTAuD,152,450,50,2,13,7,0.2,2330,45000
PPP-CONTR,153,450,50,2,13,7,0.2,2330,45000
PPP-CONTSC,154,225,48,1,25,7,0.2,2330,10800
PPP-CONTSCAuD,155,225,48,1,25,7,0.2,2330,10800
PPP-CONTSCPt,156,225,48,1,25,7,0.2,2330,10800
PPP-CONTSCR,157,225,48,1,25,7,0.2,2330,10800
PPP-FM,158,225,28,3,75,7,2.8,2330,18900
PPP-FMAu,159,225,28,3,75,7,2.8,19300,18900
PPP-FMAuD,160,225,28,3,75,7,2.8,2330,18900
PPP-FMR,161,225,28,3,75,10,2.8,2330,18900
PPP-LFM-R,162,225,48,1,23,10,0.2,2330,10800
PPP-LFMR,163,225,48,1,23,7,0.2,2330,10800
PPP-NCH,164,125,30,4,330,7,42,2330,15000
PPP-NCHAuD,165,125,30,4,330,7,42,19300,15000
PPP-NCHR,166,125,30,4,330,7,42,2330,15000
PPP-NCL,167,225,38,7,190,7,48,2330,59850
PPP-NCLAuD,168,225,38,7,190,7,48,19300,59850
PPP-NCLR,169,225,38,7,190,7,48,2330,59850
PPP-NCST,170,150,27,2.8,160,7,7.4,2330,11340
PPP-NCSTAuD,171,150,27,2.8,160,7,7.4,19300,11340
PPP-NCSTR,172,150,27,2.8,160,7,7.4,2330,11340
PPP-QFMR,173,225,28,3,75,7,2.8,2330,18900
PPP-QFMR,174,225,28,3,75,7,2.8,2330,18900
PPP-QNCHR,175,125,30,4,330,7,42,2330,15000
PPP-RT-CONTR,176,450,50,2,13,7,0.2,2330,45000
PPP-RT-FMR,177,225,28,3,75,7,2.8,2330,18900
PPP-RT-FMR,178,225,28,3,75,7,2.8,2330,18900
PPP-RT-NCHR,179,125,30,4,330,7,42,2330,15000
PPP-SEIH,180,225,33,5,130,7,15,2330,37125
PPP-SEIHR,181,225,33,5,130,7,15,2330,37125
PPP-XY-CONTR,182,450,50,2,13,10,0.2,2330,45000
PPP-XYNCHR,183,125,30,4,330,7,42,2330,15000
PPP-XYNCSTR,184,150,27,2.8,160,7,7.4,2330,11340
PPP-ZEI-LR,185,450,55,4,27,10,1.6,2330,99000
PPP-ZEIHR,186,225,57,5,130,7,27,2330,64125
PR-SSP10,187,225,38,7,190,2,48,19300,59850
Q-WM190-SSS,188,225,38,7,1190,2,48,2330,59850
qp-BioAC-A,189,40,20,0.4,90,10,0.3,19300,320
qp-BioAC-B,190,60,25,0.4,50,10,0.1,19300,600
qp-BioAC-C,191,80,30,0.4,30,10,0.06,19300,960
qp-BioAC-CI-A,192,40,20,0.4,90,30,0.3,19300,320
qp-BioAC-CI-B,193,60,25,0.4,50,30,0.1,19300,600
qp-BioAC-CI-C,194,80,30,0.4,30,30,0.06,19300,960
qp-BioT-A,195,100,14,0.9,50,10,0.3,19300,1260
qp-BioT-B,196,200,28,0.9,20,10,0.08,19300,5040
qp-CONT,197,125,35,0.75,30,10,0.1,2650,3281.25
qp-fast-A,198,40,22,2.5,800,10,80,19300,2200
qp-fast-B,199,60,27,2.5,420,10,30,19300,4050
qp-fast-C,200,80,32,2.5,250,10,15,19300,6400
qp-HBC,201,115,25,1,60,10,0.5,2650,2875
qp-SCONT,202,125,34,0.35,11,10,0.01,2650,1487.5
SAA-HPI-SS,203,110,40,0.58,55,1,0.25,3210,2552
SCANASYST-AIR,204,115,25,0.65,70,2,0.4,3210,1868.75
SCANASYST-FLUID+,205,70,10,0.6,150,2,0.7,3210,420
SD-CONT-SiN*,206,450,50,2,13,20,0.2,2330,45000
SD-P-CONT,207,450,50,2,13,10,0.2,2330,45000
SD-PXL-CONT,208,450,50,2,7,10,0.2,2330,45000
SD-PXL-CONT-SC,209,225,45,1,8,10,0.2,2330,10125
SD-T1L450B,210,450,45,1,6.5,10,0.02,2330,20250
SD-T5L450B,211,450,50,2,15,10,0.2,2330,45000
SEIHR,212,225,33,5,130,8,15,2330,37125
SiNi-A,213,100,16,0.52,30,15,0.27,19300,832
SiNi-B,214,200,30,0.52,10,15,0.06,19300,3120
SNL-10,215,120,25,0.6,65,2,0.35,3210,1800
SNL-W,216,120,25,0.6,65,2,0.35,2330,1800
SSS-FM,217,225,30,3,75,2,2.8,2330,20250
SSS-FMR,218,225,30,3,75,2,2.8,2330,20250
SSS-NCH,219,125,30,4,330,2,42,2330,15000
SSS-NCHR,220,125,30,4,330,2,42,2330,15000
SSS-NCL,221,225,38,7,190,2,48,2330,59850
SSS-NCLR,222,225,38,7,190,2,48,2330,59850
SSS-SEIH,223,225,33,5,130,2,15,2330,37125
SSS-SEIHR,224,225,33,5,130,2,15,2330,37125
Tap150-G,225,125,25,2.1,150,10,5,2330,6562.5
Tap150Al-G,226,125,25,2.1,150,10,5,2330,6562.5
Tap150GD-G,227,125,25,2.1,150,10,5,19300,6562.5
Tap190-G,228,225,38,7,190,10,48,19300,59850
Tap190Al-G,229,225,38,7,190,10,48,2330,59850
Tap190GD-G,230,225,38,7,190,10,48,19300,59850
Tap300-G,231,125,30,4,300,10,40,19300,15000
Tap300Al-G,232,125,30,4,300,10,40,2330,15000
Tap300GD-G,233,125,30,4,300,10,40,19300,15000
TESP,234,125,30,4,320,8,42,2330,15000
TESP-SS,235,125,30,4,320,2,42,3210,15000
TESPA,236,125,30,4,320,8,42,2330,15000
USC-F0.3-k0.3,237,20,10,0.19,300,10,0.3,19300,38
USC-F1.2-k0.15,238,7,2,0.08,1200,10,0.15,19300,1.12
USC-F1.5-k0.6,239,7,3,0.1,1500,10,0.6,19300,2.1
XCS11-A,240,500,30,2.7,15,10,0.2,2330,40500
XCS11-B,241,210,30,2.7,80,10,2.7,2330,17010
XNC12/Cr-Au BS-A,242,200,28,0.5,17,10,0.08,19300,2800
XNC12/Cr-Au BS-B,243,100,13.5,0.5,67,10,0.32,19300,675
ZEIHR,244,225,57,5,130,8,27,2330,64125
